Report Number,ACRS Report Type,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Drivers License State,Vehicle Damage Extent,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Parked Vehicle,Vehicle Year,Vehicle Make,Vehicle Model,Latitude,Longitude,time,day of the week,date
EJ7858008C,1,-1,9,4,4,4,5,6,,89E3404B-ADFF-4AA4-B767-833A98D6B5E9,2,1,"RAIN, SNOW, WET",12,11,1,1,13,8,2,25.0,0,2015.0,4,360,39.1422018,-77.21747183,10:05:00,Tuesday,2023-11-21
MCP3009006L,2,-1,3,0,0,3,1,-1,,387566F7-8B5D-42DC-87FD-8AA1BEECA73C,0,1,,7,11,0,12,0,8,2,30.0,0,2018.0,96,339,39.23880613,-77.27963823,06:00:00,Sunday,2023-10-01
MCP33480011,2,-1,7,0,0,0,-1,7,,0E647E07-0AF6-4799-BA58-2E3837967D8F,2,1,,12,-1,5,9,13,12,0,25.0,0,2003.0,45,130,39.103395,-77.04762667,07:08:00,Tuesday,2023-09-05
MCP28710033,2,-1,9,4,4,6,1,6,,2F4D2440-C414-4B67-9CD3-0D2F21EC959D,2,1,"N/A, WET",7,30,2,12,13,8,1,35.0,0,2002.0,45,57,39.01325333,-77.11736,15:53:00,Tuesday,2016-06-21
MCP3190005L,1,-1,9,6,4,3,1,6,,DA364158-DB4F-4C3F-BB33-8DF3E8BC402B,2,2,"RAIN, SNOW, WET",12,11,1,12,13,8,4,40.0,0,2022.0,77,96,39.12080783,-77.03858283,07:51:00,Monday,2023-12-11
MCP2871008Z,2,-1,7,0,-1,4,1,-1,,4AF9166F-FC87-49A5-9F6A-9D38DA150D8E,2,1,,7,11,5,2,13,1,0,10.0,0,2012.0,19,258,39.023505,-77.12358833,14:36:00,Wednesday,2023-07-26
MCP26410036,2,-1,15,0,0,4,-1,6,,C55432F6-A159-45DF-8087-0B0788F0FC10,2,1,,7,11,1,12,13,16,1,50.0,0,2005.0,133,360,39.33064833,-77.19008667,09:45:00,Friday,2023-07-28
MCP0036009H,2,-1,7,0,-1,4,1,6,,E75A5AA4-1F02-43F4-86B9-6EDFE6FA6FBB,0,1,,7,11,2,9,0,19,0,0.0,0,2009.0,19,389,39.24153333,-77.23513,13:15:00,Thursday,2019-02-28
MCP2962008N,1,-1,4,1,0,4,5,6,,BC3A89F7-863C-4EAE-8B06-26ABA6E1C9AB,2,1,,7,11,1,12,13,8,1,40.0,0,2011.0,24,383,39.18201934,-77.26008444,13:09:00,Wednesday,2023-12-06
MCP137800L6,2,-1,15,1,-1,4,-1,7,,069A023D-2F55-411D-8E4A-39677700ED2E,2,1,,12,-1,1,14,13,0,1,5.0,0,2008.0,70,409,39.1436409,-77.20050395,14:40:00,Monday,2018-05-14
