Report Number,ACRS Report Type,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Drivers License State,Vehicle Damage Extent,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Parked Vehicle,Vehicle Year,Vehicle Make,Vehicle Model,Latitude,Longitude,time,day of the week,date
DM83860018,2,-1,7,0,-1,1,-1,8,2,1,,12,-1,5,3,0,13,3,0.0,0,2003.0,15,409,38.98304333,-76.97249167,02:06:00,Thursday,2019-03-14
MCP1235004Y,2,-1,16,0,0,4,1,6,2,1,,7,12,1,12,11,6,1,15.0,0,2006.0,140,280,39.02273296,-76.97610772,18:38:00,Friday,2023-08-11
MCP3249000K,2,-1,7,0,-1,4,5,6,2,1,"N/A, RUTS, HOLES, BUMPS",7,26,1,6,0,2,1,45.0,0,2010.0,140,338,39.04133167,-76.99502167,18:25:00,Saturday,2020-09-19
MCP2730003H,2,-1,9,0,0,4,1,-1,2,1,"N/A, VISION OBSTRUCTION (INCL. BLINDED BY SUN)",12,12,2,12,11,9,2,25.0,0,2013.0,28,211,39.16991542,-77.24956756,09:00:00,Wednesday,2023-11-29
MCP1604001H,2,-1,14,0,0,4,-1,6,2,1,,12,12,2,10,11,2,0,35.0,0,2007.0,100,37,39.14557536,-77.14390129,07:37:00,Tuesday,2018-12-04
MCP28460065,2,-1,9,0,0,1,1,6,2,1,,4,12,2,12,11,0,4,35.0,0,2011.0,94,256,39.04155167,-77.04853333,22:45:00,Saturday,2020-08-29
MCP1099003Y,2,-1,9,0,0,4,-1,6,2,1,,5,12,5,12,18,17,4,35.0,0,2014.0,35,76,39.150895,-77.149365,08:44:00,Friday,2021-10-15
MCP2707001M,1,-1,3,0,0,4,5,8,0,1,,7,12,5,12,0,20,0,45.0,0,2017.0,68,342,39.10377333,-77.1914,12:00:00,Friday,2019-07-05
MCP12020048,2,-1,7,1,7,4,1,6,2,1,,7,12,2,2,16,17,1,25.0,0,2015.0,30,82,38.9662,-77.122,09:54:00,Tuesday,2019-12-17
MCP30050035,1,-1,6,0,0,4,5,8,2,1,,12,-1,2,10,-1,15,2,35.0,0,0.0,146,452,39.02630194,-77.02016294,13:50:00,Sunday,2017-10-22
