Report Number,ACRS Report Type,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Drivers License State,Vehicle Damage Extent,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Parked Vehicle,Vehicle Year,Vehicle Make,Vehicle Model,Latitude,Longitude,time,day of the week,date
MCP3163000J,2,-1,14,2,-1,4,5,6,2,1,,12,12,5,1,11,17,2,35.0,0,2015.0,147,37,39.04192667,-77.11078,09:31:00,Tuesday,2018-09-11
MCP2786002K,2,-1,9,0,0,1,5,6,0,1,,7,12,5,9,11,20,1,35.0,0,2011.0,140,96,39.00880833,-77.03989333,22:53:00,Saturday,2019-03-02
MCP12520015,1,-1,4,0,0,4,-1,6,0,2,,7,12,1,12,7,9,0,30.0,0,2008.0,42,391,39.2239,-77.42298,17:39:00,Thursday,2018-08-30
MCP3276001Q,2,-1,9,0,0,1,5,6,2,1,,12,12,1,12,11,9,2,35.0,0,2001.0,55,368,38.99950333,-77.02607,22:30:00,Sunday,2022-02-27
MCP2948005S,2,-1,3,4,7,0,1,0,2,1,,12,12,0,12,12,9,2,30.0,0,2011.0,114,421,39.033235,-77.04700667,05:15:00,Sunday,2022-11-06
MCP3045004N,2,-1,7,0,0,4,-1,6,2,1,,7,3,2,4,11,9,2,40.0,0,2006.0,100,57,38.99232,-77.160975,14:37:00,Wednesday,2022-02-16
MCP2353002P,2,-1,13,1,7,4,5,-1,0,1,,7,12,5,1,18,17,0,25.0,0,2008.0,98,82,39.044685,-77.107385,10:38:00,Friday,2016-04-29
DD55820015,1,-1,15,0,0,1,4,6,2,2,,8,12,1,12,11,9,2,25.0,0,2015.0,24,110,39.077725,-77.14326,23:45:00,Sunday,2017-03-12
MCP31620055,2,-1,9,0,0,4,1,6,0,1,,7,12,5,9,11,17,2,35.0,0,2022.0,140,128,39.02338426,-77.0456033,13:00:00,Tuesday,2023-12-19
MCP2974004V,2,-1,16,4,7,4,4,6,2,1,,7,12,1,6,11,6,0,25.0,0,2023.0,140,128,39.08140233,-76.94576983,07:00:00,Monday,2023-09-18
MCP2425008V,1,-1,16,0,0,4,5,6,0,3,,7,12,1,12,11,9,2,50.0,0,2014.0,140,128,39.0679,-76.95955333,12:51:00,Friday,2017-02-17
MCP2425009Z,2,-1,16,0,-1,4,-1,4,2,1,,12,12,5,9,0,1,0,0.0,0,2011.0,86,225,39.04029167,-76.99008333,13:43:00,Wednesday,2017-08-02
MCP33480014,2,-1,16,0,0,4,4,6,2,1,,12,12,2,12,11,9,4,25.0,0,2000.0,2,11,39.09202667,-77.08275333,08:03:00,Tuesday,2023-09-12
MCP29320075,2,-1,4,0,0,1,-1,6,2,1,,5,12,1,12,13,6,2,35.0,0,2012.0,2,448,39.00821467,-76.97983367,23:00:00,Monday,2023-12-04
MCP9432002C,2,-1,16,0,-1,1,1,6,0,1,"DEBRIS OR OBSTRUCTION, N/A",7,12,2,12,11,9,1,30.0,0,2014.0,46,114,39.22645167,-77.288065,19:30:00,Friday,2019-09-27
MCP3038004F,1,-1,9,5,1,4,1,-1,0,1,"ICY OR SNOW-COVERED, SLEET, HAIL, FREEZ. RAIN, WET",7,12,5,8,11,17,1,25.0,0,2015.0,140,96,39.07942116,-76.95552762,16:07:00,Saturday,2020-01-18
MCP2692001F,2,-1,7,4,7,4,4,6,2,1,"N/A, WET",7,12,1,1,11,0,1,25.0,0,2018.0,140,338,39.04285667,-77.05314,13:00:00,Tuesday,2019-08-13
MCP3011000L,2,-1,14,0,0,4,2,6,2,1,,7,12,5,3,16,9,0,55.0,0,2007.0,29,124,39.00956667,-77.08860333,15:43:00,Thursday,2016-02-25
DM8476001S,2,-1,9,0,0,4,1,-1,0,1,,7,12,5,9,11,17,0,35.0,0,2018.0,140,421,38.992632,-76.991591,08:00:00,Wednesday,2021-03-17
MCP32330026,2,-1,4,0,0,1,5,6,2,1,,4,31,5,12,11,6,4,35.0,0,2005.0,16,421,38.99839067,-77.00090817,18:26:00,Thursday,2021-12-02
MCP26760024,1,-1,9,0,0,2,1,-1,0,1,,7,12,5,9,0,20,4,40.0,0,2013.0,68,421,39.13325333,-77.121855,18:08:00,Tuesday,2016-11-08
DD55820013,2,-1,4,1,0,1,5,6,0,1,,7,12,1,1,11,9,4,40.0,0,2011.0,140,96,39.06686333,-77.15369333,22:15:00,Monday,2016-11-14
MCP2859000L,2,-1,4,0,0,5,5,6,0,1,,7,12,1,1,11,9,4,25.0,0,1994.0,45,37,39.15145333,-77.20727667,16:58:00,Friday,2015-01-02
DD55920005,2,-1,5,0,-1,4,-1,8,2,1,,4,-1,6,15,-1,6,1,15.0,0,0.0,146,452,39.09314048,-77.13484625,18:00:00,Tuesday,2020-04-21
MCP3178002T,2,-1,7,0,-1,4,1,8,2,1,,5,-1,5,9,21,1,2,15.0,0,2017.0,28,458,39.06372667,-77.04656167,11:30:00,Sunday,2021-07-11
MCP1550000X,2,-1,15,6,4,1,-1,6,2,1,"ICY OR SNOW-COVERED, RAIN, SNOW",7,12,5,7,18,9,4,40.0,0,2009.0,37,82,38.984405,-77.09167167,21:16:00,Saturday,2015-02-14
MCP1015000R,2,-1,9,0,0,4,8,6,2,1,"N/A, ROAD UNDER CONSTRUCTION/MAINTENANCE",7,3,2,12,11,18,0,25.0,0,2007.0,140,320,39.23292667,-77.28347833,13:19:00,Thursday,2016-08-04
MCP2964003L,2,-1,15,1,7,4,1,6,2,1,"N/A, WET",12,12,0,12,11,10,1,50.0,0,2016.0,46,53,39.1396,-77.26884667,17:15:00,Friday,2019-04-19
MCP2891005F,2,-1,9,0,0,4,-1,6,0,1,,7,12,2,9,12,20,4,55.0,0,2006.0,39,97,39.01367767,-77.04575867,08:36:00,Monday,2018-03-19
MCP0036003N,1,-1,16,0,0,4,5,6,2,2,,12,12,1,6,11,6,1,40.0,0,2016.0,125,260,39.178235,-77.238635,13:25:00,Friday,2016-01-29
MCP2859002F,2,-1,4,0,0,4,5,6,0,1,,7,12,1,2,11,6,1,35.0,0,2003.0,28,32,39.14863167,-77.147065,09:56:00,Friday,2016-07-08
MCP2518000L,2,-1,7,4,7,1,1,8,2,1,"RAIN, SNOW, WET",12,12,2,12,0,21,2,30.0,0,1997.0,45,421,39.254529,-77.222244,00:10:00,Friday,2015-04-10
MCP2365000N,2,-1,16,0,0,4,1,-1,0,1,,7,12,5,12,11,9,2,30.0,0,2016.0,87,88,39.05072694,-76.98322892,12:33:00,Wednesday,2016-12-21
MCP2978001C,1,-1,12,4,7,4,5,6,2,3,"RAIN, SNOW, WET",7,26,5,10,0,6,0,35.0,0,2004.0,68,472,39.05887333,-77.15266,14:11:00,Saturday,2016-10-01
DM8423002J,2,-1,7,0,0,4,-1,-1,2,1,,12,12,3,9,2,1,3,15.0,0,2015.0,28,421,38.98468333,-77.00933333,15:15:00,Friday,2021-05-14
MCP3113000L,2,-1,14,0,0,4,1,-1,2,1,,12,-1,6,15,12,9,1,25.0,0,2003.0,24,313,38.99804872,-77.02559173,18:30:00,Wednesday,2018-05-09
MCP1323000F,1,-1,9,0,0,4,1,6,2,3,,4,12,1,12,11,17,1,35.0,0,2016.0,46,114,39.00145,-77.02523167,14:48:00,Friday,2016-11-04
MCP242500FY,2,-1,14,1,7,1,5,6,0,1,"RAIN, SNOW, WET",7,12,5,10,0,12,-1,30.0,1,2007.0,2,276,38.99563333,-77.03066333,07:00:00,Thursday,2020-02-06
MCP9428004V,1,-1,16,1,0,4,1,6,2,1,,5,12,2,4,0,6,2,30.0,0,2016.0,79,283,39.23413,-77.202945,14:23:00,Wednesday,2022-10-26
MCP2228000C,1,-1,9,-1,-1,4,3,6,0,1,,7,12,1,9,11,17,2,30.0,0,2007.0,100,372,39.08689667,-76.94856333,14:39:00,Thursday,2018-09-20
MCP32990017,2,-1,15,0,0,4,1,6,2,1,"ANIMAL, N/A",7,12,1,6,11,9,4,15.0,0,2005.0,84,37,39.11950917,-77.00698633,14:43:00,Sunday,2021-11-21
MCP30000038,2,-1,15,0,0,1,1,1,2,1,,7,12,1,1,11,9,4,30.0,0,2003.0,52,420,39.16175333,-77.25239833,01:30:00,Monday,2020-06-15
MCP1608000N,1,-1,4,0,0,1,5,-1,2,2,,7,12,1,12,0,6,0,35.0,0,2013.0,140,338,39.01209333,-77.15987333,21:13:00,Monday,2017-10-16
MCP2816003S,2,-1,4,-1,-1,1,5,6,2,1,,4,12,1,6,11,6,1,35.0,0,2017.0,84,149,39.05231167,-77.16411167,19:33:00,Saturday,2023-10-28
MCP3021002S,2,-1,9,0,0,4,1,6,2,1,,7,12,1,12,11,9,2,40.0,0,2012.0,124,245,39.066015,-77.00096833,10:30:00,Monday,2018-04-09
MCP9312000L,2,-1,16,0,0,2,1,6,0,1,,7,12,1,12,11,9,1,35.0,0,2011.0,15,244,39.18101167,-77.188825,00:12:00,Saturday,2017-04-29
MCP2820002B,2,-1,9,0,0,4,5,6,2,1,,7,12,1,12,11,17,4,45.0,0,2011.0,55,381,39.06137333,-77.09153,11:11:00,Friday,2016-07-08
MCP3173000K,1,2,7,0,0,3,4,6,2,1,,5,11,3,12,11,7,1,25.0,0,2013.0,46,381,39.0229374,-77.01688638,07:14:00,Wednesday,2019-06-12
DD5620002T,2,-1,7,0,-1,1,-1,6,2,1,,5,12,5,9,11,1,2,15.0,0,2013.0,46,305,39.091693,-77.15222767,09:10:00,Monday,2018-07-23
MCP2877004D,1,-1,3,0,0,4,1,6,2,3,,7,12,1,12,11,10,0,20.0,0,2017.0,125,245,39.01548667,-77.055965,11:00:00,Saturday,2017-10-07
MCP2780000Z,2,-1,9,6,1,4,5,6,0,1,"ICY OR SNOW-COVERED, RAIN, SNOW",7,12,5,9,18,20,2,40.0,0,2008.0,37,82,39.19044833,-77.24854833,10:44:00,Sunday,2015-02-15
MCP3283000L,2,-1,7,4,-1,4,1,6,2,1,,12,12,5,6,11,13,0,5.0,0,2002.0,87,162,39.11687026,-77.18592882,17:57:00,Wednesday,2021-04-14
DD5620009J,2,-1,7,0,0,4,5,-1,0,1,,7,12,5,0,2,9,0,30.0,0,2003.0,106,27,39.08197788,-77.1493046,12:46:00,Thursday,2023-04-06
MCP3119003Z,1,-1,4,0,0,1,0,6,0,3,,7,12,1,12,14,9,0,35.0,0,2016.0,28,248,39.15601855,-77.22588956,05:40:00,Thursday,2023-02-23
MCP2861003K,2,-1,9,4,7,4,1,6,0,1,"RAIN, SNOW, WET",7,18,2,9,21,20,0,45.0,0,2014.0,24,101,39.02320667,-77.15566333,18:25:00,Wednesday,2018-07-25
DD5502007S,2,-1,14,0,0,4,1,6,0,1,,7,12,1,6,21,9,4,40.0,0,2014.0,46,457,39.07686743,-77.12256388,08:13:00,Thursday,2023-09-07
MCP3071002G,2,-1,7,0,0,1,1,-1,2,1,,12,-1,1,13,11,9,4,30.0,0,2016.0,50,32,39.17524962,-77.24094966,02:25:00,Friday,2023-12-01
EJ7895002F,1,-1,4,0,0,4,5,6,2,1,,4,12,2,12,12,9,4,35.0,0,1999.0,23,421,39.13427733,-77.1952857,07:15:00,Friday,2022-07-29
MCP3090004W,2,-1,14,6,4,4,4,-1,0,1,"ICY OR SNOW-COVERED, N/A",7,12,5,0,0,9,2,35.0,0,2003.0,28,185,39.14828859,-77.16814804,08:45:00,Tuesday,2021-02-02
MCP2588008L,2,-1,14,0,0,4,1,6,1,1,,7,12,1,12,11,9,2,45.0,0,2001.0,140,128,39.06891,-77.07565333,10:34:00,Saturday,2021-07-03
MCP2300000M,1,-1,16,0,0,1,4,6,0,1,,7,12,1,1,11,9,1,25.0,0,2013.0,99,37,38.98761333,-77.09921167,21:06:00,Wednesday,2017-12-20
MCP30030045,1,-1,16,0,0,4,5,6,2,2,,5,12,1,12,11,9,1,35.0,0,2010.0,79,284,39.01813,-77.13300667,12:00:00,Tuesday,2019-09-24
MCP27360043,2,-1,9,0,0,1,5,1,2,1,,7,12,1,12,11,9,4,45.0,0,2014.0,15,140,38.98593167,-77.142655,19:10:00,Saturday,2016-12-03
MCP1389002Y,2,-1,9,0,0,4,1,-1,2,1,,7,12,1,12,21,9,4,35.0,0,2007.0,55,174,39.0935725,-77.03558767,15:45:00,Monday,2023-09-18
MCP2365002P,1,-1,1,0,0,3,1,6,2,3,,5,12,0,13,11,6,2,40.0,0,2012.0,28,211,39.06882,-77.002885,06:37:00,Monday,2022-03-21
MCP2855004S,2,-1,14,0,0,4,1,6,2,1,,7,31,2,10,11,9,4,35.0,0,2020.0,141,126,39.02124333,-77.014095,17:00:00,Friday,2023-10-06
MCP2298007X,1,-1,16,0,0,4,4,6,2,1,,5,12,2,6,11,11,2,25.0,0,2010.0,141,128,39.18133431,-77.26957485,12:27:00,Wednesday,2016-03-09
MCP33510019,1,-1,16,0,0,4,5,6,0,2,,7,12,2,12,0,6,0,25.0,0,2017.0,46,343,39.03969717,-76.99835067,14:09:00,Monday,2023-07-31
MCP2717003Y,2,-1,14,0,0,1,5,6,2,1,,5,12,3,8,18,6,0,35.0,0,2012.0,98,436,39.00061833,-77.09685,16:30:00,Friday,2015-11-20
MCP2740004S,1,-1,7,1,-1,4,1,6,0,1,,7,12,2,8,11,1,4,5.0,0,2010.0,24,427,39.01042667,-77.04175833,09:36:00,Thursday,2018-02-01
MCP133400BN,2,-1,14,0,0,4,5,6,0,1,,7,12,2,6,18,9,0,30.0,0,2014.0,37,82,39.15227333,-77.19802833,11:13:00,Thursday,2021-07-08
MCP25980035,2,-1,16,0,0,4,5,6,2,1,,7,12,1,12,14,8,4,35.0,0,2010.0,46,53,39.066165,-77.16576333,09:18:00,Friday,2019-10-25
MCP31900029,1,-1,7,4,7,1,1,1,2,3,"N/A, RAIN, SNOW",9,12,1,12,11,9,1,40.0,0,2015.0,24,110,39.05308667,-77.07431833,01:45:00,Sunday,2021-04-25
DD5610001X,1,-1,16,0,0,4,1,-1,2,1,,12,26,1,11,11,6,4,35.0,0,2011.0,152,34,39.075434,-77.11739933,11:17:00,Tuesday,2016-09-13
MCP29690058,2,-1,9,-1,0,4,1,6,2,1,,7,12,1,12,11,9,4,35.0,0,2006.0,55,73,39.103915,-76.986245,12:30:00,Wednesday,2018-10-03
MCP137800BB,2,-1,9,0,0,4,1,6,0,1,,7,12,2,9,11,20,4,30.0,0,2011.0,140,128,39.142185,-77.19273,19:08:00,Thursday,2016-07-14
MCP25590032,1,-1,9,1,0,4,8,-1,2,1,,2,12,5,12,11,18,1,35.0,0,2015.0,28,438,39.14236833,-77.22080833,09:06:00,Saturday,2019-01-26
MCP27890016,2,-1,14,-1,-1,5,1,8,2,1,,12,-1,6,1,11,9,4,35.0,0,1999.0,24,458,39.00871333,-77.04131833,06:20:00,Tuesday,2015-08-25
MCP2893002C,2,-1,15,4,7,4,1,6,2,1,"RAIN, SNOW, WET",7,12,1,12,11,9,2,25.0,0,2006.0,79,37,39.19055833,-77.25781667,18:03:00,Friday,2016-09-30
MCP2821001N,1,-1,16,4,7,1,5,6,0,1,"RAIN, SNOW, WET",7,12,1,12,11,9,0,35.0,0,2018.0,124,9,39.14872667,-77.14694667,05:26:00,Thursday,2019-06-13
MCP2893002P,1,-1,4,1,0,1,5,6,0,2,,7,12,0,12,11,9,2,40.0,0,1995.0,84,445,39.17839833,-77.23865167,19:17:00,Sunday,2017-01-29
MCP2116007G,2,-1,16,0,0,4,5,6,0,1,,7,12,1,12,11,9,2,40.0,0,2016.0,154,405,39.05659167,-77.1196,07:57:00,Thursday,2017-11-16
DD5657000S,1,-1,16,0,0,4,5,6,0,4,,7,12,1,4,11,18,1,35.0,0,2020.0,16,368,39.11283,-77.1620985,10:25:00,Wednesday,2023-05-24
MCP9133000G,2,-1,11,0,0,4,8,6,0,1,,7,12,2,9,11,7,2,40.0,0,2013.0,141,467,39.20461667,-77.24611667,10:07:00,Tuesday,2015-10-20
MCP209400H7,2,-1,7,4,-1,4,-1,6,0,1,,7,12,2,3,0,9,3,5.0,0,2020.0,68,123,39.02339667,-77.12798667,12:48:00,Thursday,2021-03-18
MCP2853002Y,2,-1,14,0,0,1,1,-1,0,1,,7,12,2,0,11,9,0,40.0,0,2012.0,140,338,39.02644051,-77.02040166,21:40:00,Sunday,2017-01-29
DD56250007,2,-1,9,0,0,4,-1,6,0,1,,7,16,5,9,2,9,4,40.0,0,2018.0,144,445,39.09866901,-77.13776708,15:00:00,Monday,2018-03-19
EJ7876004M,2,-1,7,0,-1,4,1,8,2,1,,5,-1,5,12,2,12,-1,10.0,1,0.0,146,452,39.16428728,-77.22428041,11:56:00,Thursday,2022-05-19
MCP2855002B,2,-1,1,0,0,4,4,6,1,1,,12,12,2,10,11,6,0,25.0,0,2005.0,45,37,39.053075,-76.968665,15:05:00,Thursday,2018-05-03
MCP23480016,1,-1,9,0,0,1,-1,6,0,1,,7,12,5,9,11,17,1,35.0,0,2004.0,141,37,39.02618833,-77.04636833,18:38:00,Monday,2015-12-21
MCP23940036,2,-1,9,0,0,1,1,6,1,1,,12,12,2,9,11,17,0,40.0,0,2017.0,84,9,39.05703167,-77.15916667,23:21:00,Thursday,2019-06-13
MCP32800043,1,-1,7,4,7,4,1,6,0,4,"N/A, RAIN, SNOW",7,12,0,12,11,9,0,40.0,0,2006.0,46,114,39.06581937,-76.97606575,08:20:00,Friday,2023-11-10
MCP29210038,1,-1,14,0,0,1,5,-1,0,1,,7,12,5,6,11,9,4,40.0,0,2016.0,140,338,39.18122501,-77.2386034,20:34:00,Sunday,2019-08-11
MCP23990066,1,-1,15,-1,7,5,-1,6,2,3,"N/A, WET",7,12,1,12,0,9,4,30.0,0,2008.0,141,338,39.189733,-77.1828017,17:00:00,Sunday,2022-11-06
MCP2203003N,1,-1,16,0,0,4,4,6,0,2,,7,12,0,4,21,9,2,25.0,0,2018.0,46,305,39.0304265,-77.0202345,13:20:00,Monday,2019-01-28
MCP2694002J,1,-1,16,0,0,4,5,6,0,2,,7,12,1,1,11,9,0,35.0,0,2011.0,140,128,39.04443333,-77.11149333,15:16:00,Tuesday,2017-02-07
MCP15800096,2,-1,4,0,0,4,1,6,0,1,,7,12,1,12,11,17,1,25.0,0,2005.0,52,381,39.152885,-77.20854333,11:02:00,Tuesday,2018-09-04
MCP2965007N,2,-1,14,1,0,2,1,6,0,1,,7,12,1,13,11,9,4,35.0,0,2018.0,45,453,39.07573976,-77.00149704,06:50:00,Thursday,2023-10-26
MCP1438001W,2,-1,9,1,7,4,1,6,2,1,,4,12,1,12,11,17,2,40.0,0,1998.0,141,37,39.160325,-77.16299667,10:20:00,Monday,2016-03-14
MCP06720008,2,-1,9,0,0,1,5,6,2,1,,7,14,5,12,14,0,2,50.0,0,2011.0,28,37,39.1285372,-77.23783493,20:45:00,Friday,2015-08-28
MCP2904002G,1,-1,9,0,7,4,1,6,0,3,"N/A, WET",7,12,1,9,11,17,1,40.0,0,1999.0,104,58,39.03793667,-76.98969833,16:26:00,Monday,2016-09-19
MCP3174001D,2,-1,15,0,-1,1,1,1,2,1,,12,12,1,6,11,17,2,15.0,0,2004.0,140,69,39.03904436,-77.03043325,02:58:00,Thursday,2019-12-05
MCP2689009B,2,-1,16,4,7,4,1,6,2,1,,12,12,1,12,11,6,1,40.0,0,2019.0,4,355,39.09017033,-77.20203183,11:07:00,Friday,2023-03-03
MCP32210026,2,-1,9,0,0,4,5,8,2,1,,12,12,2,12,0,21,4,25.0,0,2018.0,140,338,39.039912,-77.055087,15:00:00,Tuesday,2022-08-16
MCP2931001V,2,-1,4,0,-1,5,5,-1,0,1,,7,12,5,12,18,6,1,35.0,0,2016.0,98,82,39.09662906,-77.15334535,19:36:00,Friday,2017-03-24
MCP3051005R,1,-1,14,0,0,1,1,6,0,1,,7,12,1,4,11,9,2,35.0,0,2012.0,6,22,39.05029167,-77.11498833,19:05:00,Thursday,2022-10-13
EJ7871004T,2,-1,7,0,-1,1,1,8,2,1,,5,-1,5,6,11,9,0,15.0,0,2014.0,155,252,39.1446535,-77.2238761,02:34:00,Saturday,2021-06-26
MCP2877004G,2,-1,9,0,0,4,1,6,0,1,,7,12,2,9,11,20,2,35.0,0,2014.0,46,53,39.01910667,-77.04397167,14:20:00,Thursday,2017-10-26
MCP24370029,1,-1,16,0,0,4,4,6,0,3,,7,12,2,12,0,9,4,35.0,0,2002.0,68,234,39.05746167,-77.07802,15:54:00,Friday,2017-02-24
MCP3341002X,2,-1,9,5,7,3,5,-1,0,1,"ICY OR SNOW-COVERED, RAIN, SNOW, WET",7,12,2,9,11,17,2,35.0,0,2019.0,46,141,39.0837785,-77.078117,07:00:00,Monday,2023-12-11
MCP27550012,2,-1,7,4,7,0,6,6,2,1,"RAIN, SNOW, WET",5,12,5,10,11,9,0,40.0,0,1997.0,125,32,39.04728891,-77.07590595,20:57:00,Tuesday,2017-12-05
MCP26390084,1,-1,9,1,0,1,1,6,0,1,,7,12,5,9,0,20,2,40.0,0,2017.0,125,33,39.19352109,-77.0263324,06:39:00,Wednesday,2019-10-02
MCP2622001C,1,-1,13,0,0,4,1,6,2,2,,5,12,1,12,11,14,4,45.0,0,2008.0,100,463,39.10720667,-76.92060333,12:54:00,Thursday,2017-06-08
MCP2358002X,2,-1,7,0,-1,4,1,8,2,1,,12,-1,2,9,11,1,4,25.0,0,1996.0,28,33,39.01841333,-77.21035,12:21:00,Friday,2017-02-24
MCP2871004D,2,-1,16,1,0,4,1,6,2,1,,5,12,2,1,11,6,0,35.0,0,2014.0,75,267,39.01397,-77.16020667,16:00:00,Tuesday,2017-05-23
HA23990018,2,-1,4,0,0,4,1,-1,0,1,,7,12,1,12,15,9,2,25.0,0,2000.0,46,53,38.982745,-76.999615,15:11:00,Tuesday,2018-06-12
DD56140047,2,-1,9,-1,0,1,5,1,2,1,,12,12,1,12,11,17,2,30.0,0,2002.0,100,61,39.08553617,-77.14898633,21:32:00,Wednesday,2018-12-05
MCP21770013,2,-1,4,0,0,4,5,6,0,1,,7,12,1,12,11,17,1,40.0,0,1993.0,67,7,39.05017,-77.18763,14:51:00,Wednesday,2016-09-07
MCP2753000Z,2,-1,9,0,0,4,5,6,0,1,,7,26,2,9,11,17,0,35.0,0,2000.0,90,32,39.09050667,-77.045125,11:30:00,Monday,2015-06-08
MCP31110035,2,-1,9,0,-1,4,1,6,2,1,,4,31,5,6,11,18,2,10.0,0,2019.0,2,341,38.96577003,-77.1045357,09:48:00,Saturday,2020-11-14
MCP2496000V,2,-1,14,0,0,1,1,-1,0,1,,7,12,5,6,11,9,1,40.0,0,2012.0,90,37,38.98956319,-77.02655128,18:00:00,Thursday,2019-02-14
DD5502005K,2,-1,9,1,0,4,5,6,0,1,,7,12,5,9,0,20,0,30.0,0,2016.0,153,421,39.07991994,-77.13860995,11:50:00,Monday,2019-11-18
MCP29860032,2,-1,16,0,0,1,1,6,2,1,,1,12,5,1,11,9,0,25.0,0,2017.0,59,35,39.06643794,-76.99797334,19:51:00,Saturday,2019-12-07
MCP29660045,2,-1,14,0,0,4,1,-1,0,1,,7,12,2,1,11,9,0,35.0,0,2012.0,140,37,39.0529,-77.08954167,18:10:00,Tuesday,2018-05-01
MCP1604001F,1,-1,12,4,7,4,-1,6,2,2,"RAIN, SNOW, WET",12,12,1,10,0,8,0,35.0,0,2017.0,28,182,39.14316356,-77.14036357,09:11:00,Saturday,2018-10-27
MCP2914004F,1,-1,9,0,-1,4,-1,-1,2,1,,7,12,1,12,11,9,1,40.0,0,2017.0,46,53,39.03736833,-76.989295,15:56:00,Wednesday,2017-05-10
EJ78490015,2,-1,7,0,-1,1,1,8,2,1,,12,12,2,6,11,9,1,10.0,0,1998.0,28,185,39.14759,-77.19007167,20:30:00,Wednesday,2015-09-02
MCP2398000J,1,2,16,0,0,4,2,8,2,1,,12,-1,6,15,0,9,1,40.0,0,2015.0,154,451,39.1608978,-77.16340899,15:45:00,Sunday,2015-09-06
MCP9392000Z,1,-1,9,0,0,1,-1,6,2,1,,4,12,1,12,11,9,2,55.0,0,2013.0,84,150,39.17195281,-77.26251394,02:15:00,Friday,2019-08-02
EJ78180004,2,-1,15,0,-1,4,-1,6,2,1,,7,12,2,2,9,19,2,0.0,0,2008.0,28,82,39.13395,-77.19506167,09:03:00,Tuesday,2015-06-23
MCP2134001G,0,-1,16,0,0,4,5,8,1,0,,12,12,0,12,7,9,4,45.0,0,2012.0,46,106,39.06316848,-77.09470823,10:46:00,Friday,2018-04-13
MCP3048002Q,1,-1,9,0,0,4,1,6,0,1,,7,12,1,9,18,19,0,25.0,0,2009.0,37,263,38.96851167,-77.12846167,09:34:00,Saturday,2018-02-17
EJ78540022,2,-1,16,-1,-1,4,4,-1,2,1,,12,-1,6,12,-1,0,2,25.0,0,0.0,146,452,39.140575,-77.19406167,09:33:00,Monday,2018-05-07
MCP33310013,1,-1,13,1,0,4,5,6,0,3,,7,12,1,1,11,9,0,35.0,0,2014.0,46,141,39.05899567,-77.047611,09:20:00,Friday,2022-11-25
MCP1083000D,1,-1,10,0,0,4,1,6,0,1,,7,12,5,9,11,20,4,35.0,0,2007.0,125,206,39.20400861,-77.20711827,08:54:00,Thursday,2015-09-24
MCP2929001S,2,-1,9,0,0,3,1,6,2,1,,5,12,0,12,11,9,1,45.0,0,2002.0,2,349,39.04355333,-77.05209,07:05:00,Thursday,2016-09-08
MCP15800085,1,-1,7,0,1,4,1,6,2,1,"ICY OR SNOW-COVERED, N/A",12,12,1,2,11,16,1,30.0,0,2013.0,141,128,39.129765,-77.2289,07:58:00,Tuesday,2018-01-09
MCP31270017,2,-1,17,7,-1,0,1,8,2,1,,12,-1,6,15,-1,21,3,15.0,0,0.0,146,452,38.99161,-77.09780667,21:51:00,Friday,2019-01-25
MCP29680022,2,-1,16,0,0,4,5,6,2,1,,5,5,1,10,11,9,0,40.0,0,2008.0,9,37,39.10931333,-77.18842,16:06:00,Friday,2018-03-23
MCP3012001G,1,-1,9,0,0,4,5,6,2,1,,12,12,3,12,12,17,0,40.0,0,2004.0,140,410,39.07574833,-77.00253333,12:43:00,Saturday,2016-12-03
MCP2821001B,2,-1,14,-1,0,4,1,8,2,1,,12,-1,5,13,11,9,0,35.0,0,2003.0,28,282,39.14858374,-77.14702606,15:00:00,Thursday,2018-05-24
MCP93790010,1,-1,9,0,0,4,5,-1,2,2,,2,12,1,12,3,9,1,30.0,0,1998.0,16,75,39.16781773,-77.18322515,10:27:00,Friday,2016-09-16
MCP9311000T,2,-1,12,1,-1,4,1,6,2,1,,7,12,2,10,11,6,3,20.0,0,2004.0,141,37,39.02297,-77.14592167,11:30:00,Friday,2016-12-16
MCP137800WH,2,-1,16,6,7,1,5,6,2,1,"RAIN, SNOW, WET",7,12,1,12,13,9,2,40.0,0,2014.0,24,110,39.170005,-77.17683333,18:18:00,Wednesday,2021-02-10
MCP2487002Z,2,-1,15,4,7,4,1,6,2,1,"N/A, WET",7,12,5,6,16,9,4,40.0,0,2018.0,134,82,39.128315,-77.38352833,07:10:00,Wednesday,2023-02-15
MCP2563000V,0,2,15,4,7,1,1,6,1,1,"N/A, RAIN, SNOW",7,12,2,12,11,21,0,40.0,0,2015.0,2,424,39.113173,-77.269542,17:19:00,Friday,2018-12-14
DD5636002Q,2,-1,16,0,-1,4,1,8,2,1,,12,12,6,15,11,0,2,15.0,0,2019.0,28,211,39.07270324,-77.13317006,18:49:00,Sunday,2020-07-26
MCP1221004H,1,-1,9,1,0,4,5,6,2,1,,12,12,5,12,11,17,1,35.0,0,2002.0,46,53,39.15224833,-77.21194667,10:27:00,Monday,2018-01-29
DD5650000P,2,-1,15,0,0,4,1,6,2,1,,7,12,5,13,6,9,4,35.0,0,2018.0,113,421,39.06799194,-77.11422668,07:33:00,Monday,2021-09-27
